cycle,event_type,agent_id,context
1,GAME_START,system,{}
2,MOVE,X,"{""position"": ""1,2""}"
3,MOVE,O,"{""position"": ""2,1""}"
4,MOVE,X,"{""position"": ""0,0""}"
5,MOVE,O,"{""position"": ""0,2""}"
6,MOVE,X,"{""position"": ""2,2""}"
7,MOVE,O,"{""position"": ""2,0""}"
8,MOVE,X,"{""position"": ""1,1""}"
9,GAME_END,system,"{""result"": ""X""}"
10,GAME_START,system,{}
11,MOVE,X,"{""position"": ""1,0""}"
12,MOVE,O,"{""position"": ""2,2""}"
13,MOVE,X,"{""position"": ""0,1""}"
14,MOVE,O,"{""position"": ""2,0""}"
15,MOVE,X,"{""position"": ""1,2""}"
16,MOVE,O,"{""position"": ""2,1""}"
17,GAME_END,system,"{""result"": ""O""}"
18,GAME_START,system,{}
19,MOVE,X,"{""position"": ""1,0""}"
20,MOVE,O,"{""position"": ""1,1""}"
21,MOVE,X,"{""position"": ""0,1""}"
22,MOVE,O,"{""position"": ""2,1""}"
23,MOVE,X,"{""position"": ""0,2""}"
24,MOVE,O,"{""position"": ""0,0""}"
25,MOVE,X,"{""position"": ""1,2""}"
26,MOVE,O,"{""position"": ""2,2""}"
27,GAME_END,system,"{""result"": ""O""}"
28,GAME_START,system,{}
29,MOVE,X,"{""position"": ""0,2""}"
30,MOVE,O,"{""position"": ""1,0""}"
31,MOVE,X,"{""position"": ""0,0""}"
32,MOVE,O,"{""position"": ""2,1""}"
33,MOVE,X,"{""position"": ""2,0""}"
34,MOVE,O,"{""position"": ""1,2""}"
35,MOVE,X,"{""position"": ""2,2""}"
36,MOVE,O,"{""position"": ""0,1""}"
37,MOVE,X,"{""position"": ""1,1""}"
38,GAME_END,system,"{""result"": ""X""}"
39,GAME_START,system,{}
40,MOVE,X,"{""position"": ""1,1""}"
41,MOVE,O,"{""position"": ""0,1""}"
42,MOVE,X,"{""position"": ""1,2""}"
43,MOVE,O,"{""position"": ""0,0""}"
44,MOVE,X,"{""position"": ""2,1""}"
45,MOVE,O,"{""position"": ""1,0""}"
46,MOVE,X,"{""position"": ""2,0""}"
47,MOVE,O,"{""position"": ""2,2""}"
48,MOVE,X,"{""position"": ""0,2""}"
49,GAME_END,system,"{""result"": ""X""}"
50,GAME_START,system,{}
51,MOVE,X,"{""position"": ""1,1""}"
52,MOVE,O,"{""position"": ""0,1""}"
53,MOVE,X,"{""position"": ""2,1""}"
54,MOVE,O,"{""position"": ""1,0""}"
55,MOVE,X,"{""position"": ""2,2""}"
56,MOVE,O,"{""position"": ""0,2""}"
